STU_ID,X1SEX,X1SCIEFF,X1MTHEFF,X1SES,P2REPEATGK,P2REPEATG1,P2REPEATG2,P2REPEATG3,P2REPEATG4,P2REPEATG5,P2REPEATG6,P2REPEATG7,P2REPEATG8,P2REPEATG9,P2REPEATG10,X1TXMTH,X2MEFFORT,X2SEFFORT,X3HSCOMPSTAT
34800,1,0.69,0.1,0.0238,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0.2792,-8,-8,1
34801,2,0.67,0.1,-1.7157,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.6338,-7,1.1,1
34802,2,-7,-7,-0.6792,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.9321,-7,-7,1
34803,1,-7,1.62,-1.3419,0,0,0,0,0,0,0,0,0,0,0,0.6863,1.18,1.1,1
34804,2,-0.05,0.55,-0.1043,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.2423,1.18,1.1,1
34805,1,-1.33,-1.02,0.4659,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.631,-7,-7,3
34806,1,-7,0.1,-0.717,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.834,-8,-8,5
34807,2,-7,-0.78,-0.8837,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.7327,-8,-8,5
34808,1,-0.05,-0.17,-0.0413,0,0,0,0,0,0,0,0,0,0,0,-0.1936,-0.78,-1.48,1
34809,2,-1.2,-0.17,-0.0952,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.1088,-1.07,-7,1
34810,2,-0.05,0.1,1.0925,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.9939,0.19,-0.51,1
34811,2,0.38,-2.92,-0.5372,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-1.1181,0.21,1.1,1
34812,2,0.67,-0.17,0.0488,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.805,0.52,-1.43,1
34815,2,-8,-8,-8,0,0,0,0,0,0,1,0,0,0,0,-8,-7,-7,3
34816,1,0.25,1.62,0.1577,0,0,0,0,0,0,0,0,0,0,0,1.6418,0.52,1.1,1
34817,2,-7,-9,-1.2098,0,0,0,0,0,0,0,0,0,0,0,-0.8021,0.21,0.14,1
34818,1,-0.91,-1,-0.7635,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2.0516,-1.77,-1.47,1
34819,1,0.25,1.34,1.7132,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2.4559,0.87,1.1,1
34820,1,-7,-7,-0.7735,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-0.1978,-7,-7,1
34822,2,1.83,-0.97,-0.8837,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.0309,-8,-8,1
34823,1,-0.48,-0.17,1.1168,0,0,0,0,0,0,0,0,0,0,0,0.1833,0.54,0.15,1
34824,2,-0.04,0.49,0.282,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1.7987,-9,-9,1
34825,2,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-0.82,-0.82,1
34826,1,-7,0.1,1.5272,0,0,0,0,0,0,0,0,0,1,1,0.8071,0.54,0.79,1
34827,2,-7,-7,-1.0862,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.1473,-7,-7,1
34828,1,1.1,0.12,-0.8837,0,0,0,0,0,0,0,0,0,0,0,-0.6781,-1.83,0.13,1
34829,1,-0.48,-0.29,-0.6124,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.7039,0.52,-7,3
34830,1,1.83,-0.17,1.345,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.8664,-1.08,0.44,1
34831,1,-7,0.1,0.6968,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.9164,-0.77,-0.46,1
34832,2,-7,-1.14,0.4598,0,0,0,0,0,0,0,0,0,0,0,-1.6855,-7,-7,1
34833,2,-8,-8,-8,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-8,-0.47,-1.48,5
34834,1,1.83,0.95,0.6799,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-0.3325,1.18,1.1,1
34835,1,-0.17,-0.56,-0.0658,0,0,0,0,0,0,0,0,0,0,0,-1.3281,1.18,-7,1
34836,2,-0.46,-0.58,1.192,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0.5742,0.87,0.79,1
