STU_ID,BYSEX,BYENGLSE,BYSES1,BYSES2,BYS24F,BYGRDRPT,BYLGRRPT,BYTXMSTD,BYPISAME,BYACTCTL,F2HSSTAT
222114,2,-0.046,0.26,0.36,1,0,-3,53.56,520.15,0.89,1
222115,1,-9,1.05,1.07,1,0,-3,43.41,430.44,-9,1
222116,2,-0.222,0.15,0.14,1,0,-3,62.22,605.04,-1.08,1
222117,2,0.078,0.23,0.24,1,98,98,49.27,482.46,-0.352,1
222118,1,-2.197,0.62,0.36,1,97,97,64.78,624.15,-1.98,1
222119,1,0.331,0.35,0.19,1,0,-3,43.51,431.42,0.326,1
222120,2,1.146,1.28,1.31,1,0,-3,59.67,580.77,1.702,1
222121,2,-9,0.48,0.18,1,0,-3,40.69,404.43,-9,1
222122,2,1.596,0.48,0.61,1,0,-3,61.41,598.46,1.702,1
222124,2,-1.187,-0.09,-0.09,1,98,98,45.72,451.72,0.104,1
222125,1,-9,0.89,1.08,1,1,0,47.64,468.56,-9,3
222126,1,1.304,0.89,0.91,2,0,-3,65.88,631.95,0.637,1
222201,1,0.396,0.22,0.36,1,0,-3,71.53,669.7,1.702,1
222202,2,-0.118,-0.84,-0.76,1,98,98,56.13,544.71,0.365,1
222203,2,0.585,0.42,0.46,1,98,98,46.65,459.9,0.326,1
222204,1,0.893,-0.68,-0.6,1,1,1,40.57,403.2,0.149,1
222205,1,-0.933,0.05,0.19,1,0,-3,60.7,591.27,-1.341,1
222207,1,-0.941,-1.41,-1.38,1,0,-3,52.39,509.51,-0.149,1
222208,2,-9,-1.02,-0.92,-9,1,0,33.68,351.89,-9,1
222209,1,-0.933,0.01,-0.15,1,0,-3,55.37,537.22,-0.796,1
222210,1,0.877,0.19,0.04,1,0,-3,61.95,602.88,-0.333,6
222211,2,-0.933,-0.59,-0.72,1,0,-3,32.68,346.74,-0.516,1
222212,2,-9,0.12,0.12,-9,1,1,39.45,392.4,-9,1
222213,1,-0.925,1.05,1.24,1,0,-3,71.53,669.7,-0.219,1
222214,2,0.143,0.8,0.93,2,0,-3,52.69,512.17,-0.224,1
222215,2,0.696,-0.91,-0.78,1,98,98,33.4,350.38,1.48,3
222216,2,-0.664,-0.92,-0.81,1,2,7,37.39,374.46,-0.485,8
222217,2,-9,-1.27,-1.16,1,1,6,32.98,348.24,-9,1
222218,2,1.596,0.07,-0.1,1,0,-3,56.1,544.41,1.702,1
223101,2,-0.299,-0.08,-0.23,-9,0,-3,39.3,390.98,-0.934,1
223102,2,1.219,-0.13,0.02,1,0,-3,61.19,596.2,0.859,1
